iter	Passed	Remaining
478	602	655
479	603	653
480	604	651
481	604	650
482	605	648
483	606	646
484	607	644
485	608	643
486	608	641
487	610	640
488	611	638
489	612	636
490	612	635
491	613	633
492	614	631
493	615	630
494	616	628
495	616	626
496	617	625
497	618	623
498	619	622
499	620	620
500	621	618
501	621	617
502	622	615
503	623	613
504	624	612
505	625	610
506	626	608
507	626	607
508	627	605
509	628	604
510	629	602
511	630	600
512	631	599
513	632	597
514	632	595
515	633	594
516	634	592
517	635	591
518	636	589
519	637	588
520	637	586
521	638	584
522	639	583
523	640	581
524	641	580
525	641	578
526	642	576
527	643	575
528	644	573
529	645	572
530	646	570
531	647	569
532	647	567
533	648	566
534	649	564
535	650	562
536	651	561
537	652	560
538	653	558
539	653	556
540	654	555
541	655	553
542	656	552
543	657	550
544	657	549
545	658	547
546	659	546
547	660	544
548	661	543
549	662	542
550	664	541
551	665	540
552	666	538
553	667	537
554	668	535
555	669	534
556	669	532
557	670	531
558	671	529
559	672	528
560	673	526
561	674	525
562	674	523
563	675	522
564	676	521
565	677	519
566	678	518
567	679	516
568	680	515
569	681	513
570	682	512
571	682	511
572	683	509
573	684	508
574	685	506
575	686	505
576	687	503
577	687	502
578	688	500
579	689	499
580	690	497
581	691	496
582	692	495
583	693	494
584	694	492
585	695	491
586	696	489
587	696	488
588	697	486
589	698	485
590	699	484
591	700	482
592	701	481
593	702	479
594	702	478
595	703	477
596	704	475
597	705	474
598	706	473
599	707	471
600	708	470
601	709	468
602	709	467
603	710	465
604	711	464
605	712	463
606	713	461
607	714	460
608	714	458
609	715	457
610	716	456
611	717	454
612	718	453
613	719	452
614	719	450
615	720	449
616	721	447
617	722	446
618	723	445
619	724	443
620	725	442
621	725	441
622	726	439
623	727	438
624	728	437
625	729	435
626	730	434
627	730	432
628	731	431
629	732	430
630	733	428
631	734	427
632	735	426
633	736	424
634	736	423
635	737	422
636	738	420
637	739	419
638	740	418
639	740	416
640	741	415
641	742	414
642	743	412
643	744	411
644	744	410
645	745	408
646	746	407
647	747	406
648	748	404
649	749	403
650	749	402
651	750	400
652	751	399
653	752	398
654	753	396
655	753	395
656	754	394
657	755	392
658	756	391
659	757	390
660	758	388
661	758	387
662	759	386
663	760	384
664	761	383
665	762	382
666	763	381
667	764	379
668	764	378
669	765	377
670	766	375
671	767	374
672	768	373
673	769	371
674	769	370
675	770	369
676	771	368
677	772	366
678	773	365
679	774	364
680	774	362
681	775	361
682	776	360
683	777	359
684	777	357
685	778	356
686	779	355
687	780	353
688	781	352
689	782	351
690	782	350
691	783	348
692	784	347
693	785	346
694	786	345
695	786	343
696	787	342
697	788	341
698	789	340
699	791	339
700	793	338
701	794	337
702	795	336
703	796	334
704	797	333
705	798	332
706	799	331
707	800	330
708	801	329
709	803	328
710	804	326
711	805	325
712	806	324
713	807	323
714	809	322
715	811	321
716	811	320
717	812	319
718	813	318
719	814	316
720	815	315
721	817	314
722	819	314
723	820	312
724	821	311
725	822	310
726	823	309
727	824	308
728	825	306
729	826	305
730	828	304
731	829	303
732	830	302
733	830	301
734	831	299
735	832	298
736	833	297
737	835	296
738	836	295
739	837	294
740	838	293
741	839	291
742	840	290
743	841	289
744	842	288
745	843	287
746	844	286
747	845	284
748	846	283
749	847	282
750	848	281
751	849	280
752	850	279
753	851	277
754	852	276
755	853	275
756	855	274
757	857	273
758	859	272
759	860	271
760	863	271
761	864	270
762	865	268
763	866	267
764	868	266
765	869	265
766	870	264
767	872	263
768	876	263
769	877	262
770	878	260
771	880	260
772	881	258
773	882	257
774	883	256
775	884	255
776	887	254
777	888	253
778	889	252
779	890	251
780	891	249
781	892	248
782	893	247
783	893	246
784	894	245
785	895	243
786	896	242
787	897	241
788	898	240
789	899	239
790	902	238
791	903	237
792	904	235
793	904	234
794	905	233
795	906	232
796	907	231
797	908	229
798	909	228
799	910	227
800	910	226
801	911	225
802	912	223
803	913	222
804	914	221
805	916	220
806	917	219
807	918	218
808	919	217
809	920	215
810	920	214
811	921	213
812	922	212
813	923	210
814	924	209
815	925	208
816	926	207
817	926	206
818	927	205
819	928	203
820	929	202
821	930	201
822	931	200
823	932	199
824	933	197
825	933	196
826	934	195
827	935	194
828	936	193
829	937	192
830	938	190
831	939	189
832	939	188
833	940	187
834	941	186
835	942	184
836	943	183
837	944	182
838	945	181
839	946	180
840	947	179
841	948	177
842	948	176
843	949	175
844	950	174
845	951	173
846	952	172
847	953	170
848	954	169
849	954	168
850	955	167
851	956	166
852	957	165
853	958	163
854	959	162
855	960	161
856	961	160
857	962	159
858	963	158
859	963	156
860	964	155
861	965	154
862	966	153
863	967	152
864	968	151
865	968	149
866	969	148
867	970	147
868	971	146
869	972	145
870	973	144
871	974	143
872	975	141
873	976	140
874	977	139
875	977	138
876	978	137
877	979	136
878	980	135
879	981	133
880	982	132
881	983	131
882	984	130
883	985	129
884	986	128
885	986	126
886	987	125
887	988	124
888	989	123
889	990	122
890	991	121
891	992	120
892	993	118
893	993	117
894	994	116
895	995	115
896	996	114
897	997	113
898	1000	112
899	1001	111
900	1002	110
901	1003	109
902	1004	107
903	1005	106
904	1006	105
905	1007	104
906	1008	103
907	1008	102
908	1009	101
909	1010	99
910	1011	98
911	1013	97
912	1014	96
913	1015	95
914	1016	94
915	1018	93
916	1018	92
917	1019	91
918	1020	89
919	1021	88
920	1022	87
921	1023	86
922	1023	85
923	1024	84
924	1025	83
925	1026	82
926	1027	80
927	1028	79
928	1029	78
929	1029	77
930	1030	76
931	1031	75
932	1032	74
933	1033	73
934	1034	71
935	1035	70
936	1035	69
937	1036	68
938	1037	67
939	1038	66
940	1039	65
941	1040	64
942	1040	62
943	1041	61
944	1042	60
945	1043	59
946	1044	58
947	1045	57
948	1045	56
949	1046	55
950	1047	53
951	1048	52
952	1049	51
953	1050	50
954	1051	49
955	1051	48
956	1052	47
957	1053	46
958	1054	45
959	1055	43
960	1056	42
961	1057	41
962	1058	40
963	1059	39
964	1060	38
965	1061	37
966	1061	36
967	1062	35
968	1063	34
969	1064	32
970	1065	31
971	1065	30
972	1066	29
973	1067	28
974	1068	27
975	1069	26
976	1070	25
977	1071	24
978	1071	22
979	1072	21
980	1073	20
981	1074	19
982	1075	18
983	1076	17
984	1076	16
985	1077	15
986	1078	14
987	1079	13
988	1080	12
989	1081	10
990	1082	9
991	1083	8
992	1083	7
993	1084	6
994	1085	5
995	1086	4
996	1087	3
997	1088	2
998	1088	1
999	1089	0
